Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
51ST ST/ROSWELL ST,MARKET ST,KELTON RD,2500,2400,2400,2400,2000
54TH ST,MONTEZUMA RD,BAJA DR,3600,3600,3200,3200,3200
54TH ST,BAJA DR,COLLWOOD BLVD,2900,2900,2500,2500,2500
54TH ST,COLLWOOD BLVD,EL CAJON BLVD,22900,21300,21600,21600,23000
54TH ST,EL CAJON BLVD,ORANGE AVE,21900,21100,21100,22300,23100
54TH ST,ORANGE AVE,UNIVERSITY AVE,21200,25200,25200,25200,30400
54TH ST,UNIVERSITY AVE,CHOLLAS PKWY,18100,19500,19500,19000,18400
54TH ST,CHOLLAS PKWY,STREAMVIEW DR,18800,18800,18800,21200,21200
54TH ST,STREAMVIEW DR,REDWOOD ST,23000,23000,23000,21200,21200
54TH ST,REDWOOD ST,COLLEGE GROVE DR,21300,19900,21300,21300,22700
54TH ST,COLLEGE GROVE DR,EUCLID AVE,19300,19300,19300,21700,21700
55TH ST/REMINGTON RD,DROVER DR,MONTEZUMA RD,2100,2100,2100,2100,2100
61ST ST,IMPERIAL AVE,NANCITA CT,4900,4900,4900,5000,5000
61ST ST,NANCITA CT,SKYLINE DR,4000,4000,3600,3600,3600
61ST ST,SKYLINE DR,DIVISION ST,3300,3300,3300,3300,3300
63RD ST,MONTEZUMA RD,EL CAJON BLVD,3600,3600,3900,3900,3900
65TH ST,BROADWAY,IMPERIAL AVE,3100,3100,3100,3100,2900
69TH ST,MALLARD ST,KLAUBER AVE,4000,4000,4000,4200,4200
69TH ST,KLAUBER AVE,MADERA ST,2100,2100,2100,1900,1900
69TH ST,IMPERIAL AVE,SYCHAR RD,2600,3500,3500,3500,3100
69TH ST,SYCHAR RD,SKYLINE DR,2600,2600,2600,1700,1700
70TH ST,SARANAC ST,EL CAJON BLVD,24800,24800,30500,22200,22200
70TH ST,EL CAJON BLVD,COLONY RD,21900,21900,20900,20900,20900
